type,sample,value,offset,duration,subject
200,245413,"MSG	10788078 200",,,28
10,246402,"MSG	10789067 10",,,28
TRIAL_RESULT,247255,"MSG	10789920 TRIAL_RESULT 0",,,28
TRIALID,247256,"MSG	10789921 TRIALID 51",,,28
91,248101,"MSG	10790766 91",,,28
52,249617,"MSG	10792282 52",,,28
210,250171,"MSG	10792836 210",,,28
10,251218,"MSG	10793883 10",,,28
TRIAL_RESULT,252233,"MSG	10794898 TRIAL_RESULT 0",,,28
TRIALID,252234,"MSG	10794899 TRIALID 52",,,28
93,253051,"MSG	10795716 93",,,28
52,254569,"MSG	10797234 52",,,28
210,255219,"MSG	10797884 210",,,28
20,256301,"MSG	10798966 20",,,28
TRIAL_RESULT,257184,"MSG	10799849 TRIAL_RESULT 0",,,28
TRIALID,257184,"MSG	10799849 TRIALID 53",,,28
93,257768,"MSG	10800433 93",,,28
52,259285,"MSG	10801950 52",,,28
210,259847,"MSG	10802512 210",,,28
20,260868,"MSG	10803533 20",,,28
TRIAL_RESULT,261899,"MSG	10804564 TRIAL_RESULT 0",,,28
TRIALID,261900,"MSG	10804565 TRIALID 54",,,28
93,262868,"MSG	10805533 93",,,28
52,264385,"MSG	10807050 52",,,28
210,264954,"MSG	10807619 210",,,28
20,265919,"MSG	10808584 20",,,28
TRIAL_RESULT,266989,"MSG	10809654 TRIAL_RESULT 0",,,28
TRIALID,266990,"MSG	10809655 TRIALID 55",,,28
94,267652,"MSG	10810317 94",,,28
52,269169,"MSG	10811834 52",,,28
210,269645,"MSG	10812310 210",,,28
110,270701,"MSG	10813366 110",,,28
TRIAL_RESULT,271772,"MSG	10814437 TRIAL_RESULT 0",,,28
TRIALID,271773,"MSG	10814438 TRIALID 56",,,28
93,272502,"MSG	10815167 93",,,28
51,274018,"MSG	10816683 51",,,28
200,274598,"MSG	10817263 200",,,28
10,275685,"MSG	10818350 10",,,28
TRIAL_RESULT,276633,"MSG	10819298 TRIAL_RESULT 0",,,28
TRIALID,276634,"MSG	10819299 TRIALID 57",,,28
92,277351,"MSG	10820016 92",,,28
52,278868,"MSG	10821533 52",,,28
200,279531,"MSG	10822196 200",,,28
110,280535,"MSG	10823200 110",,,28
TRIAL_RESULT,281467,"MSG	10824132 TRIAL_RESULT 0",,,28
TRIALID,281468,"MSG	10824133 TRIALID 58",,,28
93,282268,"MSG	10824933 93",,,28
53,283786,"MSG	10826451 53",,,28
210,284296,"MSG	10826961 210",,,28
20,285368,"MSG	10828033 20",,,28
TRIAL_RESULT,286390,"MSG	10829055 TRIAL_RESULT 0",,,28
TRIALID,286390,"MSG	10829055 TRIALID 59",,,28
91,287185,"MSG	10829850 91",,,28
52,288702,"MSG	10831367 52",,,28
200,289393,"MSG	10832058 200",,,28
10,290419,"MSG	10833084 10",,,28
TRIAL_RESULT,291312,"MSG	10833977 TRIAL_RESULT 0",,,28
TRIALID,291313,"MSG	10833978 TRIALID 60",,,28
94,292203,"MSG	10834868 94",,,28
52,293719,"MSG	10836384 52",,,28
210,294209,"MSG	10836874 210",,,28
110,295252,"MSG	10837917 110",,,28
TRIAL_RESULT,296328,"MSG	10838993 TRIAL_RESULT 0",,,28
TRIALID,296328,"MSG	10838993 TRIALID 61",,,28
93,297352,"MSG	10840017 93",,,28
53,298869,"MSG	10841534 53",,,28
200,299442,"MSG	10842107 200",,,28
10,300503,"MSG	10843168 10",,,28
TRIAL_RESULT,301478,"MSG	10844143 TRIAL_RESULT 0",,,28
TRIALID,301479,"MSG	10844144 TRIALID 62",,,28
91,302369,"MSG	10845034 91",,,28
51,303886,"MSG	10846551 51",,,28
200,304705,"MSG	10847370 200",,,28
10,305703,"MSG	10848368 10",,,28
TRIAL_RESULT,306497,"MSG	10849162 TRIAL_RESULT 0",,,28
TRIALID,306498,"MSG	10849163 TRIALID 63",,,28
92,307120,"MSG	10849785 92",,,28
53,308635,"MSG	10851300 53",,,28
210,309298,"MSG	10851963 210",,,28
110,310319,"MSG	10852984 110",,,28
TRIAL_RESULT,311244,"MSG	10853909 TRIAL_RESULT 0",,,28
TRIALID,311245,"MSG	10853910 TRIALID 64",,,28
92,312252,"MSG	10854917 92",,,28
52,313769,"MSG	10856434 52",,,28
210,314164,"MSG	10856829 210",,,28
10,315152,"MSG	10857817 10",,,28
TRIAL_RESULT,316369,"MSG	10859034 TRIAL_RESULT 0",,,28
TRIALID,316369,"MSG	10859034 TRIALID 65",,,28
93,317269,"MSG	10859934 93",,,28
52,318786,"MSG	10861451 52",,,28
210,319273,"MSG	10861938 210",,,28
20,320352,"MSG	10863017 20",,,28
TRIAL_RESULT,321393,"MSG	10864058 TRIAL_RESULT 0",,,28
TRIALID,321394,"MSG	10864059 TRIALID 66",,,28
91,322118,"MSG	10864783 91",,,28
51,323636,"MSG	10866301 51",,,28
20,325470,"MSG	10868135 20",,,28
TRIAL_RESULT,326236,"MSG	10868901 TRIAL_RESULT 0",,,28
TRIALID,326237,"MSG	10868902 TRIALID 67",,,28
94,326936,"MSG	10869601 94",,,28
52,328453,"MSG	10871118 52",,,28
200,329023,"MSG	10871688 200",,,28
10,330036,"MSG	10872701 10",,,28
TRIAL_RESULT,331059,"MSG	10873724 TRIAL_RESULT 0",,,28
TRIALID,331059,"MSG	10873724 TRIALID 68",,,28
94,331669,"MSG	10874334 94",,,28
52,333186,"MSG	10875851 52",,,28
210,333870,"MSG	10876535 210",,,28
110,334886,"MSG	10877551 110",,,28
TRIAL_RESULT,335791,"MSG	10878456 TRIAL_RESULT 0",,,28
TRIALID,335792,"MSG	10878457 TRIALID 69",,,28
94,336688,"MSG	10879353 94",,,28
52,338203,"MSG	10880868 52",,,28
200,338646,"MSG	10881311 200",,,28
10,339570,"MSG	10882235 10",,,28
TRIAL_RESULT,340812,"MSG	10883477 TRIAL_RESULT 0",,,28
TRIALID,340812,"MSG	10883477 TRIALID 70",,,28
92,341520,"MSG	10884185 92",,,28
53,343036,"MSG	10885701 53",,,28
200,343564,"MSG	10886229 200",,,28
10,344520,"MSG	10887185 10",,,28
TRIAL_RESULT,345645,"MSG	10888310 TRIAL_RESULT 0",,,28
TRIALID,345645,"MSG	10888310 TRIALID 71",,,28
91,346336,"MSG	10889001 91",,,28
52,347853,"MSG	10890518 52",,,28
210,348368,"MSG	10891033 210",,,28
10,349420,"MSG	10892085 10",,,28
TRIAL_RESULT,350459,"MSG	10893124 TRIAL_RESULT 0",,,28
TRIALID,350460,"MSG	10893125 TRIALID 72",,,28
93,351320,"MSG	10893985 93",,,28
52,352838,"MSG	10895503 52",,,28
210,353472,"MSG	10896137 210",,,28
20,354487,"MSG	10897152 20",,,28
TRIAL_RESULT,355446,"MSG	10898111 TRIAL_RESULT 0",,,28
TRIALID,355446,"MSG	10898111 TRIALID 73",,,28
92,356203,"MSG	10898868 92",,,28
51,357721,"MSG	10900386 51",,,28
210,358624,"MSG	10901289 210",,,28
110,359703,"MSG	10902368 110",,,28
TRIAL_RESULT,360471,"MSG	10903136 TRIAL_RESULT 0",,,28
TRIALID,360472,"MSG	10903137 TRIALID 74",,,28
91,361268,"MSG	10903933 91",,,28
52,362788,"MSG	10905453 52",,,28
200,363443,"MSG	10906108 200",,,28
20,364470,"MSG	10907135 20",,,28
TRIAL_RESULT,365395,"MSG	10908060 TRIAL_RESULT 0",,,28
TRIALID,365395,"MSG	10908060 TRIALID 75",,,28
94,366037,"MSG	10908702 94",,,28
51,367554,"MSG	10910219 51",,,28
