subid,vers,block,trial,rewlvl,efflvl,congruency,targetresp,distractorresp,rollingefflvl,resp,rt,acc,fast,accrt,isrewarded,ismiss,runavgrrgen,runavgrrcond,zrt,acczrt,rtthreshold,isdisterror,isranderror,congruence,feedback,fcz_resp_theta,fcz_resp_theta_baseline
14,104,2,199,0.5,0.5,0,4,NaN,0.6,4,876,1,0,876,0,0,1,NaN,1.41951508120508,1.41951508120508,750,0,0,neutral,0,2130.1768287489,6798.81318965008
14,104,2,200,-0.5,-0.5,-0.5,1,1,0.6,1,867,1,0,867,0,0,0.6,0.2,1.34709326630613,1.34709326630613,750,1,0,congruent,0,6947.90452012012,6652.44271402064
14,104,2,201,-0.5,0.5,0.5,2,3,0.6,2,795,1,0,795,0,0,0.6,0.8,0.767718747114531,0.767718747114531,750,0,0,incongruent,0,6608.50450811244,9449.27965232005
14,104,2,202,-0.5,-0.5,0.5,1,4,0.6,1,759,1,0,759,1,0,0.4,0.2,0.478031487518733,0.478031487518733,750,0,0,incongruent,0.1,2963.29684133441,382.010431761319
14,104,2,203,0.5,-0.5,0.5,3,2,0.6,3,669,1,1,669,1,0,0.6,NaN,-0.246186661470763,-0.246186661470763,750,0,0,incongruent,1,5333.44834948187,1527.77509048397
14,104,2,204,0.5,-0.5,0.5,1,3,0.6,1,745,1,1,745,0,0,0.6,NaN,0.365375331009256,0.365375331009256,750,0,0,incongruent,0,2361.18224104198,717.98228858986
14,104,2,205,0.5,-0.5,-0.5,2,2,0.6,2,703,1,1,703,0,0,0.6,NaN,0.0274068614808244,0.0274068614808244,750,1,0,congruent,0,2764.33739006483,1160.75609743716
14,104,2,207,0.5,-0.5,0.5,4,2,0.4,4,939,1,0,939,0,0,0.6,NaN,1.92646778549772,1.92646778549772,750,0,0,incongruent,0,2176.78740943596,1686.10549509236
14,104,2,209,0.5,-0.5,-0.5,1,1,0.2,1,650,1,1,650,0,0,0,NaN,-0.399077159590767,-0.399077159590767,750,1,0,congruent,0,878.392935744347,429.677740780523
14,104,2,210,-0.5,0.5,0.5,4,3,0.2,4,707,1,1,707,1,0,0,0.4,0.0595943347692464,0.0595943347692464,750,0,0,incongruent,0.1,2035.19371653551,743.124637127054
14,104,2,212,-0.5,-0.5,-0.5,3,3,0.2,3,525,1,1,525,0,0,0.2,0.4,-1.40493569985396,-1.40493569985396,750,1,0,congruent,0,835.593850712575,6436.89632548133
